Rank,Title,Description,Runtime,Genre,Rating,Metascore,Votes,Gross_Earning,Director,Actor
2,Suicide Squad,A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.,123,Action,5.9,40,656097,325.1,David Ayer,Will Smith
3,Deadpool,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",108,Action,8,65,958507,363,Tim Miller,Ryan Reynolds
4,Doctor Strange,"While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.",115,Action,7.5,72,653299,232.6,Scott Derrickson,Benedict Cumberbatch
7,Busanhaeng,"While a zombie virus breaks out in South Korea, passengers struggle to survive on the train from Seoul to Busan.",118,Action,7.6,72,194512,2.13,Sang-ho Yeon,Gong Yoo
8,Ghostbusters,"Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.",117,Action,6.5,60,215403,128.3,Paul Feig,Melissa McCarthy
11,Rogue One,"In a time of conflict, a group of unlikely heroes band together on a mission to steal the plans to the Death Star, the Empire's ultimate weapon of destruction.",133,Action,7.8,65,585166,532.1,Gareth Edwards,Felicity Jones
13,The Magnificent Seven,Seven gunmen from a variety of backgrounds are brought together by a vengeful young widow to protect her town from the private army of a destructive industrialist.,132,Action,6.9,54,201042,93.43,Antoine Fuqua,Denzel Washington
15,Captain America: Civil War,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,147,Action,7.8,75,717020,408,Anthony Russo,Chris Evans
17,X-Men: Apocalypse,"In the 1980s the X-Men must defeat an ancient all-powerful mutant, En Sabah Nur, who intends to thrive through bringing destruction to the world.",144,Action,6.9,52,412455,155.4,Bryan Singer,James McAvoy
18,Gods of Egypt,"Mortal hero Bek teams with the god Horus in an alliance against Set, the merciless god of darkness, who has usurped Egypt's throne, plunging the once peaceful and prosperous empire into chaos and conflict.",127,Action,5.4,25,112154,31.15,Alex Proyas,Brenton Thwaites
23,Inferno,"When Robert Langdon wakes up in an Italian hospital with amnesia, he teams up with Dr. Sienna Brooks, and together they must race across Europe against the clock to foil a deadly global plot.",121,Action,6.2,42,168391,34.34,Ron Howard,Tom Hanks
24,Batman v Superman: Dawn of Justice,"Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.",152,Action,6.4,44,668398,330.3,Zack Snyder,Ben Affleck
29,Hell or High Water,A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.,102,Action,7.6,88,216279,26.86,David Mackenzie,Chris Pine
30,The Accountant,"As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities, and the body count starts to rise.",128,Action,7.3,51,279806,86.26,Gavin O'Connor,Ben Affleck
32,The Nice Guys,"In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star.",116,Action,7.4,70,302970,36.26,Shane Black,Russell Crowe
33,10 Cloverfield Lane,A young woman is held in an underground bunker by a man who insists that a hostile event has left the surface of the Earth uninhabitable.,103,Action,7.2,76,307952,72.08,Dan Trachtenberg,John Goodman
40,Jason Bourne,The CIA's most dangerous former operative is drawn out of hiding to uncover more explosive truths about his past.,123,Action,6.6,58,217187,162.4,Paul Greengrass,Matt Damon
42,Warcraft,"As an Orc horde invades the planet Azeroth using a magic portal, a few human heroes and dissenting Orcs must attempt to stop the true evil behind this war.",123,Action,6.8,32,254470,47.37,Duncan Jones,Travis Fimmel
